carbon_source,carbon_conc,nitrogen_source,nitrogen_conc,substrate_TR,substrate_MW,substrate_uptake
M_for,80,M_nh4,7.567731194,R_FORt,0.04603,
M_for,80,M_nh4,1.6,R_FORt,0.04603,
M_for,150,M_nh4,3.2,R_FORt,0.04603,
