								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	579							
Alpha	0.05							
								
Šídák's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P39662								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.2600	-4.220 to 4.740	No	ns	>0.9999			
    Group A vs. Group C	0.03776	-4.442 to 4.518	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2222	-4.702 to 4.258	No	ns	>0.9999			
								
  P40853								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8144	-3.666 to 5.294	No	ns	>0.9999			
    Group A vs. Group C	1.042	-3.438 to 5.522	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2275	-4.252 to 4.707	No	ns	>0.9999			
								
  P42721								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.7491	-3.731 to 5.229	No	ns	>0.9999			
    Group A vs. Group C	0.4797	-4.000 to 4.960	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2694	-4.749 to 4.211	No	ns	>0.9999			
								
  P45805								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.9232	-3.557 to 5.403	No	ns	>0.9999			
    Group A vs. Group C	0.7036	-3.776 to 5.183	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2197	-4.700 to 4.260	No	ns	>0.9999			
								
  P50320								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.511	-2.969 to 5.991	No	ns	>0.9999			
    Group A vs. Group C	0.6975	-3.782 to 5.177	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.8136	-5.294 to 3.666	No	ns	>0.9999			
								
  Q04541								
    Group A vs. H16 C/N = 50 80 mM formic acid	5.502	1.022 to 9.982	Yes	***	0.0009			
    Group A vs. Group C	3.497	-0.9826 to 7.977	No	ns	0.7195			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.005	-6.485 to 2.475	No	ns	>0.9999			
								
  Q0JY89								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.136	-2.344 to 6.616	No	ns	>0.9999			
    Group A vs. Group C	3.497	-0.9830 to 7.977	No	ns	0.7199			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.361	-3.119 to 5.841	No	ns	>0.9999			
								
  Q0JYB7								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.7459	-3.734 to 5.226	No	ns	>0.9999			
    Group A vs. Group C	3.527	-0.9526 to 8.007	No	ns	0.6878			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.781	-1.698 to 7.261	No	ns	0.9998			
								
  Q0JYJ3								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.670	-2.810 to 6.150	No	ns	>0.9999			
    Group A vs. Group C	-0.07043	-4.550 to 4.409	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.741	-6.221 to 2.739	No	ns	>0.9999			
								
  Q0JYL9								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5335	-5.013 to 3.946	No	ns	>0.9999			
    Group A vs. Group C	-1.330	-5.810 to 3.149	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.7970	-5.277 to 3.683	No	ns	>0.9999			
								
  Q0JYM3								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5960	-5.076 to 3.884	No	ns	>0.9999			
    Group A vs. Group C	-1.614	-6.093 to 2.866	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.018	-5.497 to 3.462	No	ns	>0.9999			
								
  Q0JYN0								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.07619	-4.404 to 4.556	No	ns	>0.9999			
    Group A vs. Group C	0.4254	-4.055 to 4.905	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.3492	-4.131 to 4.829	No	ns	>0.9999			
								
  Q0JYP7								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.154	-2.326 to 6.634	No	ns	>0.9999			
    Group A vs. Group C	0.6617	-3.818 to 5.142	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.493	-5.973 to 2.987	No	ns	>0.9999			
								
  Q0JZ02								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.305	-6.785 to 2.175	No	ns	>0.9999			
    Group A vs. Group C	1.403	-3.077 to 5.883	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	3.709	-0.7712 to 8.189	No	ns	0.4908			
								
  Q0JZ55								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.781	-1.699 to 7.261	No	ns	0.9998			
    Group A vs. Group C	2.488	-1.991 to 6.968	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2929	-4.773 to 4.187	No	ns	>0.9999			
								
  Q0JZ60								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.013	-6.493 to 2.467	No	ns	>0.9999			
    Group A vs. Group C	0.03451	-4.445 to 4.514	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.048	-2.432 to 6.528	No	ns	>0.9999			
								
  Q0JZB2								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.8972	-5.377 to 3.583	No	ns	>0.9999			
    Group A vs. Group C	-0.8723	-5.352 to 3.608	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.02483	-4.455 to 4.505	No	ns	>0.9999			
								
  Q0JZF7								
    Group A vs. H16 C/N = 50 80 mM formic acid	-3.144	-7.624 to 1.336	No	ns	0.9672			
    Group A vs. Group C	-1.769	-6.249 to 2.711	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.375	-3.105 to 5.855	No	ns	>0.9999			
								
  Q0JZH2								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.804	-2.676 to 6.284	No	ns	>0.9999			
    Group A vs. Group C	4.104	-0.3759 to 8.584	No	ns	0.1729			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.300	-2.180 to 6.780	No	ns	>0.9999			
								
  Q0JZL1								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.408	-2.071 to 6.888	No	ns	>0.9999			
    Group A vs. Group C	2.706	-1.774 to 7.186	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2978	-4.182 to 4.778	No	ns	>0.9999			
								
  Q0JZR8								
    Group A vs. H16 C/N = 50 80 mM formic acid	4.895	0.4148 to 9.375	Yes	*	0.0107			
    Group A vs. Group C	5.656	1.176 to 10.14	Yes	***	0.0004			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.7616	-3.718 to 5.241	No	ns	>0.9999			
								
  Q0JZV9								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5585	-5.038 to 3.921	No	ns	>0.9999			
    Group A vs. Group C	-2.451	-6.931 to 2.029	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.893	-6.372 to 2.587	No	ns	>0.9999			
								
  Q0K059								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.074	-6.554 to 2.406	No	ns	>0.9999			
    Group A vs. Group C	-2.518	-6.997 to 1.962	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4436	-4.923 to 4.036	No	ns	>0.9999			
								
  Q0K0G5								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.292	-6.772 to 2.188	No	ns	>0.9999			
    Group A vs. Group C	-0.02822	-4.508 to 4.452	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.263	-2.216 to 6.743	No	ns	>0.9999			
								
  Q0K0M2								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.780	-1.700 to 7.260	No	ns	0.9998			
    Group A vs. Group C	3.796	-0.6836 to 8.276	No	ns	0.4021			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.017	-3.463 to 5.497	No	ns	>0.9999			
								
  Q0K0U5								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.046	-2.434 to 6.526	No	ns	>0.9999			
    Group A vs. Group C	-0.7727	-5.253 to 3.707	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.819	-7.299 to 1.661	No	ns	0.9996			
								
  Q0K0Y5								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.04767	-4.528 to 4.432	No	ns	>0.9999			
    Group A vs. Group C	-0.5509	-5.031 to 3.929	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5032	-4.983 to 3.977	No	ns	>0.9999			
								
  Q0K0Z5								
    Group A vs. H16 C/N = 50 80 mM formic acid	4.607	0.1273 to 9.087	Yes	*	0.0317			
    Group A vs. Group C	4.675	0.1951 to 9.155	Yes	*	0.0247			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.06779	-4.412 to 4.548	No	ns	>0.9999			
								
  Q0K103								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.612	-1.868 to 7.092	No	ns	>0.9999			
    Group A vs. Group C	0.9259	-3.554 to 5.406	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.686	-6.166 to 2.794	No	ns	>0.9999			
								
  Q0K106								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.973	-2.507 to 6.453	No	ns	>0.9999			
    Group A vs. Group C	1.383	-3.097 to 5.863	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5896	-5.070 to 3.890	No	ns	>0.9999			
								
  Q0K108								
    Group A vs. H16 C/N = 50 80 mM formic acid	4.306	-0.1735 to 8.786	No	ns	0.0906			
    Group A vs. Group C	2.208	-2.272 to 6.687	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.099	-6.579 to 2.381	No	ns	>0.9999			
								
  Q0K110								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.167	-1.313 to 7.647	No	ns	0.9598			
    Group A vs. Group C	1.518	-2.962 to 5.998	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.649	-6.129 to 2.831	No	ns	>0.9999			
								
  Q0K113								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.375	-3.105 to 5.855	No	ns	>0.9999			
    Group A vs. Group C	0.2091	-4.271 to 4.689	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.166	-5.646 to 3.314	No	ns	>0.9999			
								
  Q0K114								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.9618	-3.518 to 5.442	No	ns	>0.9999			
    Group A vs. Group C	0.3212	-4.159 to 4.801	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.6406	-5.121 to 3.839	No	ns	>0.9999			
								
  Q0K115								
