								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	579							
Alpha	0.05							
								
Šídák's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
    Group A vs. Group C	-0.6182	-5.098 to 3.862	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.8505	-5.330 to 3.629	No	ns	>0.9999			
								
  Q0K2J3								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.691	-6.171 to 2.789	No	ns	>0.9999			
    Group A vs. Group C	-1.165	-5.644 to 3.315	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.5265	-3.953 to 5.006	No	ns	>0.9999			
								
  Q0K2J8								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.308	-2.172 to 6.787	No	ns	>0.9999			
    Group A vs. Group C	0.1431	-4.337 to 4.623	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.164	-6.644 to 2.315	No	ns	>0.9999			
								
  Q0K2M8								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.554	-7.034 to 1.926	No	ns	>0.9999			
    Group A vs. Group C	-1.402	-5.882 to 3.078	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.152	-3.328 to 5.631	No	ns	>0.9999			
								
  Q0K2N5								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.5071	-3.973 to 4.987	No	ns	>0.9999			
    Group A vs. Group C	-0.3186	-4.799 to 4.161	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.8257	-5.306 to 3.654	No	ns	>0.9999			
								
  Q0K2V0								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.119	-5.599 to 3.361	No	ns	>0.9999			
    Group A vs. Group C	-2.676	-7.156 to 1.803	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.557	-6.037 to 2.923	No	ns	>0.9999			
								
  Q0K2V4								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.448	-6.928 to 2.031	No	ns	>0.9999			
    Group A vs. Group C	0.8402	-3.640 to 5.320	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	3.289	-1.191 to 7.769	No	ns	0.9001			
								
  Q0K393								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.110	-3.370 to 5.590	No	ns	>0.9999			
    Group A vs. Group C	3.290	-1.190 to 7.770	No	ns	0.8990			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.180	-2.300 to 6.660	No	ns	>0.9999			
								
  Q0K3B6								
    Group A vs. H16 C/N = 50 80 mM formic acid	5.084	0.6043 to 9.564	Yes	**	0.0051			
    Group A vs. Group C	4.844	0.3637 to 9.324	Yes	*	0.0131			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2406	-4.721 to 4.239	No	ns	>0.9999			
								
  Q0K3E1								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.523	-2.957 to 6.003	No	ns	>0.9999			
    Group A vs. Group C	0.2075	-4.272 to 4.687	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.315	-5.795 to 3.164	No	ns	>0.9999			
								
  Q0K3E7								
    Group A vs. H16 C/N = 50 80 mM formic acid	4.207	-0.2724 to 8.687	No	ns	0.1252			
    Group A vs. Group C	4.156	-0.3237 to 8.636	No	ns	0.1472			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.05123	-4.531 to 4.429	No	ns	>0.9999			
								
  Q0K3T1								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.122	-5.602 to 3.358	No	ns	>0.9999			
    Group A vs. Group C	-1.297	-5.777 to 3.183	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.1751	-4.655 to 4.305	No	ns	>0.9999			
								
  Q0K3W2								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.5910	-3.889 to 5.071	No	ns	>0.9999			
    Group A vs. Group C	0.08666	-4.393 to 4.567	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5044	-4.984 to 3.976	No	ns	>0.9999			
								
  Q0K3Y4								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.982	-2.498 to 6.462	No	ns	>0.9999			
    Group A vs. Group C	-0.2265	-4.706 to 4.253	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.209	-6.689 to 2.271	No	ns	>0.9999			
								
  Q0K4E6								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.379	-6.859 to 2.100	No	ns	>0.9999			
    Group A vs. Group C	-2.382	-6.862 to 2.098	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.002382	-4.482 to 4.478	No	ns	>0.9999			
								
  Q0K4G1								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.992	-6.472 to 2.488	No	ns	>0.9999			
    Group A vs. Group C	-1.306	-5.786 to 3.174	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.6859	-3.794 to 5.166	No	ns	>0.9999			
								
  Q0K4K3								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.375	-6.855 to 2.105	No	ns	>0.9999			
    Group A vs. Group C	-1.088	-5.568 to 3.392	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.287	-3.193 to 5.767	No	ns	>0.9999			
								
  Q0K4K6								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.299	-3.181 to 5.779	No	ns	>0.9999			
    Group A vs. Group C	-1.081	-5.561 to 3.399	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.380	-6.860 to 2.100	No	ns	>0.9999			
								
  Q0K4N0								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.491	-6.971 to 1.989	No	ns	>0.9999			
    Group A vs. Group C	-2.817	-7.297 to 1.662	No	ns	0.9996			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3266	-4.807 to 4.153	No	ns	>0.9999			
								
  Q0K4P2								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.3666	-4.113 to 4.847	No	ns	>0.9999			
    Group A vs. Group C	-1.078	-5.558 to 3.402	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.445	-5.924 to 3.035	No	ns	>0.9999			
								
  Q0K5F5								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.07001	-4.550 to 4.410	No	ns	>0.9999			
    Group A vs. Group C	1.352	-3.127 to 5.832	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.422	-3.057 to 5.902	No	ns	>0.9999			
								
  Q0K666								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.888	-1.592 to 7.368	No	ns	0.9987			
    Group A vs. Group C	0.9917	-3.488 to 5.472	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.896	-6.376 to 2.584	No	ns	>0.9999			
								
  Q0K698								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.412	-2.068 to 6.892	No	ns	>0.9999			
    Group A vs. Group C	1.504	-2.976 to 5.984	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.9084	-5.388 to 3.572	No	ns	>0.9999			
								
  Q0K6H7								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.282	-3.197 to 5.762	No	ns	>0.9999			
    Group A vs. Group C	1.946	-2.533 to 6.426	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.6639	-3.816 to 5.144	No	ns	>0.9999			
								
  Q0K6H8								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.417	-6.897 to 2.063	No	ns	>0.9999			
    Group A vs. Group C	-2.471	-6.950 to 2.009	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.05362	-4.534 to 4.426	No	ns	>0.9999			
								
  Q0K759								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.505	-5.984 to 2.975	No	ns	>0.9999			
    Group A vs. Group C	-0.1890	-4.669 to 4.291	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.316	-3.164 to 5.795	No	ns	>0.9999			
								
  Q0K7F7								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.857	-2.623 to 6.337	No	ns	>0.9999			
    Group A vs. Group C	1.296	-3.184 to 5.776	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5610	-5.041 to 3.919	No	ns	>0.9999			
								
  Q0K7G3								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.4844	-3.996 to 4.964	No	ns	>0.9999			
    Group A vs. Group C	0.06507	-4.415 to 4.545	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4193	-4.899 to 4.061	No	ns	>0.9999			
								
  Q0K7J6								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.119	-2.361 to 6.599	No	ns	>0.9999			
    Group A vs. Group C	0.3173	-4.163 to 4.797	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.802	-6.282 to 2.678	No	ns	>0.9999			
								
  Q0K7J8								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.829	-1.651 to 7.309	No	ns	0.9995			
    Group A vs. Group C	1.365	-3.115 to 5.844	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.465	-5.945 to 3.015	No	ns	>0.9999			
								
  Q0K7J9								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8700	-3.610 to 5.350	No	ns	>0.9999			
    Group A vs. Group C	2.981	-1.498 to 7.461	No	ns	0.9947			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.111	-2.368 to 6.591	No	ns	>0.9999			
								
  Q0K7W1								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5348	-5.015 to 3.945	No	ns	>0.9999			
    Group A vs. Group C	-0.2403	-4.720 to 4.240	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2945	-4.185 to 4.774	No	ns	>0.9999			
								
  Q0K8E6								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.168	-6.648 to 2.312	No	ns	>0.9999			
    Group A vs. Group C	-1.657	-6.137 to 2.823	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.5103	-3.970 to 4.990	No	ns	>0.9999			
								
  Q0K8P7								
    Group A vs. H16 C/N = 50 80 mM formic acid	4.653	0.1733 to 9.133	Yes	*	0.0268			
    Group A vs. Group C	6.039	1.559 to 10.52	Yes	****	<0.0001			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.386	-3.094 to 5.866	No	ns	>0.9999			
								
  Q0K924								
    Group A vs. H16 C/N = 50 80 mM formic acid	-3.003	-7.483 to 1.477	No	ns	0.9929			
    Group A vs. Group C	-1.559	-6.039 to 2.921	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.444	-3.036 to 5.924	No	ns	>0.9999			
								
  Q0K925								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.4993	-3.981 to 4.979	No	ns	>0.9999			
    Group A vs. Group C	1.227	-3.253 to 5.707	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.7280	-3.752 to 5.208	No	ns	>0.9999			
								
  Q0K9N8								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.093	-6.573 to 2.387	No	ns	>0.9999			
    Group A vs. Group C	-2.428	-6.908 to 2.052	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3351	-4.815 to 4.145	No	ns	>0.9999			
								
  Q0KA08								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.9286	-5.409 to 3.551	No	ns	>0.9999			
    Group A vs. Group C	0.5915	-3.888 to 5.071	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.520	-2.960 to 6.000	No	ns	>0.9999			
								
  Q0KAD2								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.4506	-4.931 to 4.029	No	ns	>0.9999			
    Group A vs. Group C	-0.9356	-5.416 to 3.544	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4850	-4.965 to 3.995	No	ns	>0.9999			
								
  Q0KAH7								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.215	-5.695 to 3.265	No	ns	>0.9999			
    Group A vs. Group C	0.2889	-4.191 to 4.769	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.504	-2.976 to 5.984	No	ns	>0.9999			
								
  Q0KAZ6								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.198	-3.282 to 5.678	No	ns	>0.9999			
    Group A vs. Group C	2.821	-1.659 to 7.301	No	ns	0.9996			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.623	-2.857 to 6.103	No	ns	>0.9999			
								
  Q0KBL4								
    Group A vs. H16 C/N = 50 80 mM formic acid	-3.006	-7.486 to 1.474	No	ns	0.9926			
    Group A vs. Group C	-2.579	-7.059 to 1.901	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.4275	-4.052 to 4.907	No	ns	>0.9999			
								
  Q0KBL5								
    Group A vs. H16 C/N = 50 80 mM formic acid	-4.495	-8.975 to -0.01544	Yes	*	0.0473			
    Group A vs. Group C	-4.386	-8.866 to 0.09380	No	ns	0.0693			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.1092	-4.371 to 4.589	No	ns	>0.9999			
								
  Q0KBL6								
    Group A vs. H16 C/N = 50 80 mM formic acid	-4.135	-8.615 to 0.3451	No	ns	0.1573			
    Group A vs. Group C	-4.724	-9.204 to -0.2443	Yes	*	0.0206			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5893	-5.069 to 3.891	No	ns	>0.9999			
								
  Q0KBN0								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.4720	-4.952 to 4.008	No	ns	>0.9999			
    Group A vs. Group C	-1.088	-5.567 to 3.392	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.6156	-5.095 to 3.864	No	ns	>0.9999			
								
  Q0KCD2								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.680	-2.800 to 6.160	No	ns	>0.9999			
    Group A vs. Group C	-0.2060	-4.686 to 4.274	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.886	-6.366 to 2.594	No	ns	>0.9999			
								
  Q0KCQ8								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.08607	-4.566 to 4.394	No	ns	>0.9999			
    Group A vs. Group C	0.06156	-4.418 to 4.541	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.1476	-4.332 to 4.628	No	ns	>0.9999			
								
  Q0KCR4								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5441	-5.024 to 3.936	No	ns	>0.9999			
    Group A vs. Group C	-0.7371	-5.217 to 3.743	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.1931	-4.673 to 4.287	No	ns	>0.9999			
								
  Q0KD39								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.944	-7.424 to 1.536	No	ns	0.9969			
    Group A vs. Group C	-2.058	-6.538 to 2.422	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.8857	-3.594 to 5.366	No	ns	>0.9999			
								
  Q0KDK3								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.2394	-4.719 to 4.240	No	ns	>0.9999			
    Group A vs. Group C	-2.219	-6.699 to 2.261	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.979	-6.459 to 2.501	No	ns	>0.9999			
								
  Q0KE24								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.5652	-3.915 to 5.045	No	ns	>0.9999			
    Group A vs. Group C	3.226	-1.254 to 7.706	No	ns	0.9352			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.661	-1.819 to 7.141	No	ns	>0.9999			
								
  Q0KE90								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5651	-5.045 to 3.915	No	ns	>0.9999			
    Group A vs. Group C	-2.646	-7.126 to 1.834	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.080	-6.560 to 2.399	No	ns	>0.9999			
								
  Q0KEJ8								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.5962	-5.076 to 3.884	No	ns	>0.9999			
    Group A vs. Group C	0.2282	-4.252 to 4.708	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.8244	-3.656 to 5.304	No	ns	>0.9999			
								
  Q0KET0								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.345	-2.135 to 6.825	No	ns	>0.9999			
    Group A vs. Group C	0.3682	-4.112 to 4.848	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.977	-6.457 to 2.503	No	ns	>0.9999			
								
  Q0KEV1;Q0K2T9								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.2327	-4.247 to 4.713	No	ns	>0.9999			
    Group A vs. Group C	-2.666	-7.146 to 1.813	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.899	-7.379 to 1.581	No	ns	0.9984			
								
  Q0KEW2								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.8706	-5.351 to 3.609	No	ns	>0.9999			
    Group A vs. Group C	-0.5902	-5.070 to 3.890	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2804	-4.200 to 4.760	No	ns	>0.9999			
								
  Q0KF81								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.133	-2.347 to 6.613	No	ns	>0.9999			
    Group A vs. Group C	4.818	0.3381 to 9.298	Yes	*	0.0144			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.685	-1.795 to 7.165	No	ns	>0.9999			
								
  Q0KFD7								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.8834	-5.363 to 3.597	No	ns	>0.9999			
    Group A vs. Group C	-0.6699	-5.150 to 3.810	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.2135	-4.266 to 4.693	No	ns	>0.9999			
								
  Q0KFI6								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.216	-3.264 to 5.696	No	ns	>0.9999			
    Group A vs. Group C	1.776	-2.704 to 6.256	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.5603	-3.920 to 5.040	No	ns	>0.9999			
								
  Q0KFJ8								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.6480	-3.832 to 5.128	No	ns	>0.9999			
    Group A vs. Group C	0.08850	-4.391 to 4.568	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5595	-5.039 to 3.920	No	ns	>0.9999			
								
  Q59101								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.346	-3.134 to 5.826	No	ns	>0.9999			
    Group A vs. Group C	0.8496	-3.630 to 5.330	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.4961	-4.976 to 3.984	No	ns	>0.9999			
								
  Q59105								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.125	-5.605 to 3.354	No	ns	>0.9999			
    Group A vs. Group C	-1.934	-6.414 to 2.546	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.8088	-5.289 to 3.671	No	ns	>0.9999			
								
  Q79IN9								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.8513	-3.629 to 5.331	No	ns	>0.9999			
    Group A vs. Group C	1.275	-3.205 to 5.755	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.4233	-4.057 to 4.903	No	ns	>0.9999			
								
  Q79IP0								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.248	-3.232 to 5.728	No	ns	>0.9999			
    Group A vs. Group C	1.669	-2.811 to 6.149	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.4206	-4.059 to 4.901	No	ns	>0.9999			
								
  Q79IP6								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.7706	-3.709 to 5.250	No	ns	>0.9999			
    Group A vs. Group C	0.3854	-4.095 to 4.865	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3852	-4.865 to 4.095	No	ns	>0.9999			
								
  Q79IP7								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.9544	-3.526 to 5.434	No	ns	>0.9999			
    Group A vs. Group C	0.9443	-3.536 to 5.424	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.01008	-4.490 to 4.470	No	ns	>0.9999			
								
  Q79IP8								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.893	-2.587 to 6.373	No	ns	>0.9999			
    Group A vs. Group C	1.551	-2.928 to 6.031	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3419	-4.822 to 4.138	No	ns	>0.9999			
								
  Q7WSB2								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.467	-1.013 to 7.947	No	ns	0.7502			
    Group A vs. Group C	3.191	-1.289 to 7.670	No	ns	0.9510			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2767	-4.757 to 4.203	No	ns	>0.9999			
								
  Q7WWT7;Q0KAA4;Q7WWU8								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.6083	-3.872 to 5.088	No	ns	>0.9999			
    Group A vs. Group C	-0.3299	-4.810 to 4.150	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.9382	-5.418 to 3.542	No	ns	>0.9999			
								
  Q7WWT9								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.086	-3.394 to 5.566	No	ns	>0.9999			
    Group A vs. Group C	0.9323	-3.548 to 5.412	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.1537	-4.634 to 4.326	No	ns	>0.9999			
								
  Q7WWU0								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.827	-0.6534 to 8.306	No	ns	0.3736			
    Group A vs. Group C	3.485	-0.9951 to 7.965	No	ns	0.7324			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3417	-4.822 to 4.138	No	ns	>0.9999			
								
  Q7WWU7								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.747	-2.733 to 6.226	No	ns	>0.9999			
    Group A vs. Group C	0.1867	-4.293 to 4.667	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.560	-6.040 to 2.920	No	ns	>0.9999			
								
  Q7WWV0								
    Group A vs. H16 C/N = 50 80 mM formic acid	2.094	-2.386 to 6.574	No	ns	>0.9999			
    Group A vs. Group C	2.555	-1.924 to 7.035	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.4616	-4.018 to 4.942	No	ns	>0.9999			
								
  Q7WWW3								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.432	-1.048 to 7.912	No	ns	0.7847			
    Group A vs. Group C	4.250	-0.2303 to 8.730	No	ns	0.1093			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.8176	-3.662 to 5.298	No	ns	>0.9999			
								
  Q7WWW7								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.1230	-4.357 to 4.603	No	ns	>0.9999			
    Group A vs. Group C	-0.2083	-4.688 to 4.272	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3313	-4.811 to 4.149	No	ns	>0.9999			
								
  Q7WWW8								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.464	-3.016 to 5.944	No	ns	>0.9999			
    Group A vs. Group C	-0.8112	-5.291 to 3.669	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-2.275	-6.755 to 2.205	No	ns	>0.9999			
								
  Q7WWX2								
    Group A vs. H16 C/N = 50 80 mM formic acid	-3.854	-8.334 to 0.6258	No	ns	0.3486			
    Group A vs. Group C	-0.3123	-4.792 to 4.168	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	3.542	-0.9382 to 8.022	No	ns	0.6723			
								
  Q7WWX9								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.774	-6.254 to 2.706	No	ns	>0.9999			
    Group A vs. Group C	0.6755	-3.804 to 5.155	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.450	-2.030 to 6.930	No	ns	>0.9999			
								
  Q7WWY4								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.366	-6.846 to 2.114	No	ns	>0.9999			
    Group A vs. Group C	0.6547	-3.825 to 5.135	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	3.021	-1.459 to 7.501	No	ns	0.9912			
								
  Q7WWZ6								
    Group A vs. H16 C/N = 50 80 mM formic acid	-3.711	-8.191 to 0.7689	No	ns	0.4883			
    Group A vs. Group C	-0.9269	-5.407 to 3.553	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.784	-1.696 to 7.264	No	ns	0.9998			
								
  Q7WWZ7								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.396	-5.876 to 3.084	No	ns	>0.9999			
    Group A vs. Group C	-0.7095	-5.189 to 3.770	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.6862	-3.794 to 5.166	No	ns	>0.9999			
								
  Q7WX00								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.2197	-4.700 to 4.260	No	ns	>0.9999			
    Group A vs. Group C	-0.7271	-5.207 to 3.753	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.5073	-4.987 to 3.973	No	ns	>0.9999			
								
  Q7WX12								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.990	-6.470 to 2.490	No	ns	>0.9999			
    Group A vs. Group C	-0.6784	-5.158 to 3.801	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.312	-3.168 to 5.792	No	ns	>0.9999			
								
  Q7WX14								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.199	-5.679 to 3.281	No	ns	>0.9999			
    Group A vs. Group C	-0.3517	-4.832 to 4.128	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.8471	-3.633 to 5.327	No	ns	>0.9999			
								
  Q7WX43								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.611	-7.091 to 1.869	No	ns	>0.9999			
    Group A vs. Group C	-0.1137	-4.594 to 4.366	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	2.497	-1.983 to 6.977	No	ns	>0.9999			
								
  Q7WX46								
    Group A vs. H16 C/N = 50 80 mM formic acid	-3.902	-8.381 to 0.5784	No	ns	0.3083			
    Group A vs. Group C	-0.8415	-5.321 to 3.638	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	3.060	-1.420 to 7.540	No	ns	0.9860			
								
  Q7WX55								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.6643	-3.816 to 5.144	No	ns	>0.9999			
    Group A vs. Group C	-0.05157	-4.531 to 4.428	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.7159	-5.196 to 3.764	No	ns	>0.9999			
								
  Q7WXD2								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.344	-3.136 to 5.824	No	ns	>0.9999			
    Group A vs. Group C	-0.6970	-5.177 to 3.783	No	ns	>0.9999			
