log(fold change)	-log(adjusted p)	ProtID
0.15000000000000036	-0.0	P27747
2.360000000000001	0.030356120014899235	P28614
-0.7400000000000002	-0.0	P59927
0.6699999999999982	-0.0	Q0JY17
0.7699999999999996	-0.0	Q0JY52
-0.620000000000001	-0.0	Q0JY56
1.6799999999999997	-0.0	Q0JYC5
0.370000000000001	-0.0	Q0JYF7
1.6199999999999992	-0.0	Q0JYH2
1.290000000000001	-0.0	Q0JYK3
0.17999999999999972	-0.0	Q0JYV3
1.1999999999999993	-0.0	Q0JYY5
1.179999999999998	-0.0	Q0JZ07
-0.27000000000000135	-0.0	Q0JZ34
-2.3900000000000006	0.04311629107362808	Q0JZ42
0.7800000000000011	-0.0	Q0JZB9
-1.2699999999999996	-0.0	Q0JZD6
0.6099999999999994	-0.0	Q0JZL8
1.2300000000000004	-0.0	Q0JZN7
-0.33000000000000007	-0.0	Q0JZP7
1.6199999999999992	-0.0	Q0JZR4
0.7799999999999994	-0.0	Q0JZZ2
1.7800000000000011	-0.0	Q0JZZ3
0.09999999999999964	-0.0	Q0K086
1.5099999999999998	-0.0	Q0K093
1.2199999999999989	-0.0	Q0K0A8;Q0KAU8
-0.10999999999999943	-0.0	Q0K0D1
1.92	-0.0	Q0K0F5
2.58	0.23281517101094082	Q0K0Q7
2.92	1.1217785666999494	Q0K0Q8
1.4700000000000006	-0.0	Q0K0R2
0.6600000000000001	-0.0	Q0K0V0
-1.2899999999999991	-0.0	Q0K120
1.92	-0.0	Q0K178
0.5199999999999996	-0.0	Q0K1F8
0.9400000000000013	-0.0	Q0K1I3
1.7299999999999986	-0.0	Q0K1J5
0.7200000000000006	-0.0	Q0K1Q3
1.9700000000000006	-0.0	Q0K1Q5
-0.3100000000000005	-0.0	Q0K1V8
-1.3100000000000005	-0.0	Q0K1Y1
2.400000000000002	0.04845522026940337	Q0K1Y6
2.75	0.6193392534152254	Q0K1Z0
1.5899999999999999	-0.0	Q0K1Z3
3.869999999999999	5.654992310486769	Q0K1Z4
0.21000000000000085	-0.0	Q0K280
-0.34999999999999964	-0.0	Q0K281
0.15000000000000036	-0.0	Q0K2F7
-0.5500000000000007	-0.0	Q0K2F8
0.6799999999999997	-0.0	Q0K2G7
0.0	-0.0	Q0K2I3
0.7100000000000009	-0.0	Q0K2J7
-0.22000000000000064	-0.0	Q0K2M1
2.630000000000001	0.3375728420652459	Q0K2N8
0.5700000000000003	-0.0	Q0K2Q6
2.6700000000000017	0.4153639402874119	Q0K2Q7
0.6899999999999995	-0.0	Q0K2S4
-0.4399999999999995	-0.0	Q0K2T2
1.7299999999999986	-0.0	Q0K2U7
0.6999999999999993	-0.0	Q0K2V6
0.629999999999999	-0.0	Q0K312
0.7299999999999969	-0.0	Q0K313
0.5800000000000001	-0.0	Q0K324
2.539999999999999	0.1762599654153593	Q0K335
2.360000000000003	0.03138747324163273	Q0K338
0.8600000000000012	-0.0	Q0K3B3
1.1600000000000001	-0.0	Q0K3B9
1.8000000000000007	-0.0	Q0K3L0
0.46999999999999886	-0.0	Q0K3M2
1.4600000000000009	-0.0	Q0K3M5
1.040000000000001	-0.0	Q0K3W4
2.0600000000000005	-0.0	Q0K409
1.209999999999999	-0.0	Q0K410
0.9100000000000001	-0.0	Q0K418
1.9699999999999989	-0.0	Q0K4C2
-2.3200000000000003	0.01836765735818493	Q0K4R0
0.7799999999999994	-0.0	Q0K4U2
0.6800000000000015	-0.0	Q0K4V1
-2.740000000000002	0.585728783792675	Q0K541
-1.040000000000001	-0.0	Q0K553
-0.08999999999999986	-0.0	Q0K556
1.3399999999999999	-0.0	Q0K5B2
1.9899999999999984	-0.0	Q0K5E2
0.23000000000000043	-0.0	Q0K5F6
1.7200000000000006	-0.0	Q0K5G3
2.289999999999999	0.012173800931708762	Q0K5K0
-1.3599999999999994	-0.0	Q0K5L1
1.2400000000000002	-0.0	Q0K5L2
-0.28000000000000114	-0.0	Q0K5P2
1.17	-0.0	Q0K5P7
3.419999999999998	3.302257433807252	Q0K616
2.5000000000000018	0.1349037624648015	Q0K639
0.8399999999999999	-0.0	Q0K675
-0.09999999999999964	-0.0	Q0K6D4
-0.34999999999999964	-0.0	Q0K6E4
-2.6500000000000004	0.3865452232556535	Q0K6E5
0.41000000000000014	-0.0	Q0K6F1
-1.5199999999999996	-0.0	Q0K6F8
2.1799999999999997	0.0015011261262670914	Q0K6G8
1.75	-0.0	Q0K6H4
1.3199999999999985	-0.0	Q0K6K6
-0.25	-0.0	Q0K6L0
3.619999999999999	4.319991243754429	Q0K6L3
-0.3100000000000005	-0.0	Q0K6L7
-1.0500000000000007	-0.0	Q0K6Y1
0.8600000000000012	-0.0	Q0K728
-2.119999999999999	0.00040008002133969133	Q0K771
-0.7100000000000009	-0.0	Q0K772
-0.129999999999999	-0.0	Q0K7F4
1.1500000000000021	-0.0	Q0K7I4
0.21000000000000085	-0.0	Q0K7I7
-1.3500000000000014	-0.0	Q0K7P7
0.9100000000000001	-0.0	Q0K7Q8
1.1600000000000001	-0.0	Q0K7R6
0.27999999999999936	-0.0	Q0K7R9
1.8800000000000008	-0.0	Q0K7S1
1.4800000000000004	-0.0	Q0K7S3
3.1899999999999995	2.228405694819794	Q0K7X7
2.209999999999999	0.002302649062675558	Q0K7Y6
0.2699999999999996	-0.0	Q0K800
0.0600000000000005	-0.0	Q0K8A0
3.200000000000001	2.2614431496628704	Q0K8A1
0.9899999999999984	-0.0	Q0K8C6
1.4300000000000015	-0.0	Q0K8N2
-0.5299999999999976	-0.0	Q0K8S9
3.7600000000000016	5.0206856299497575	Q0K8T0
1.4700000000000024	-0.0	Q0K8X5
1.8399999999999999	-0.0	Q0K907
2.799999999999999	0.7650729201315343	Q0K920
1.0299999999999994	-0.0	Q0K921
0.5	-0.0	Q0K928
0.9799999999999986	-0.0	Q0K957
-1.17	-0.0	Q0K9G9
-0.7199999999999989	-0.0	Q0K9H4
0.6600000000000001	-0.0	Q0K9J0
0.5099999999999998	-0.0	Q0K9N3
-1.009999999999998	-0.0	Q0K9Q3
0.7100000000000009	-0.0	Q0K9S7
1.08	-0.0	Q0K9T5
0.8999999999999986	-0.0	Q0K9V5
-0.629999999999999	-0.0	Q0K9X0
1.429999999999998	-0.0	Q0K9Y6
0.35999999999999943	-0.0	Q0K9Z0
0.10999999999999943	-0.0	Q0KA90
0.22000000000000064	-0.0	Q0KAA5
-0.009999999999999787	-0.0	Q0KAD4
1.8200000000000003	-0.0	Q0KAE0
1.0899999999999999	-0.0	Q0KAH0
1.0700000000000003	-0.0	Q0KAR7
2.6500000000000004	0.35738948487660116	Q0KAY1
-0.13000000000000078	-0.0	Q0KB25
0.33000000000000007	-0.0	Q0KB27
-0.27999999999999936	-0.0	Q0KB42
1.4400000000000013	-0.0	Q0KB66
-0.8099999999999987	-0.0	Q0KBB1
3.67	4.56594947283481	Q0KBG5
1.9000000000000004	-0.0	Q0KBG6
2.3699999999999974	0.03676772419221461	Q0KBR8
1.4299999999999997	-0.0	Q0KBR9
0.9199999999999999	-0.0	Q0KBU2
0.27000000000000135	-0.0	Q0KBU9
0.46999999999999886	-0.0	Q0KBW2
-0.6099999999999994	-0.0	Q0KBX1
0.9199999999999999	-0.0	Q0KBY4
1.5399999999999991	-0.0	Q0KC68
0.9299999999999997	-0.0	Q0KC91
-0.7200000000000006	-0.0	Q0KCB3
2.3000000000000007	0.01379471102218926	Q0KCF3
1.6799999999999997	-0.0	Q0KCF5
0.9399999999999995	-0.0	Q0KCF8
