								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	618							
Alpha	0.05							
								
Šídák's multiple comparisons test	Predicted (LS) mean diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P27747								
    Group A vs. Group B	-1.055	-4.414 to 2.303	No	ns	>0.9999			
    Group A vs. Group C	-0.7441	-4.857 to 3.369	No	ns	>0.9999			
    Group B vs. Group C	0.3112	-3.802 to 4.424	No	ns	>0.9999			
								
  Q0K728								
    Group A vs. Group B	0.8581	-2.500 to 4.216	No	ns	>0.9999			
    Group A vs. Group C	0.6012	-3.512 to 4.714	No	ns	>0.9999			
    Group B vs. Group C	-0.2569	-4.370 to 3.856	No	ns	>0.9999			
								
  Q0K771								
    Group A vs. Group B	-2.124	-5.482 to 1.234	No	ns	0.9996			
    Group A vs. Group C	-0.1320	-4.245 to 3.981	No	ns	>0.9999			
    Group B vs. Group C	1.992	-2.121 to 6.105	No	ns	>0.9999			
								
  Q0K772								
    Group A vs. Group B	-0.7143	-4.073 to 2.644	No	ns	>0.9999			
    Group A vs. Group C	1.471	-2.643 to 5.584	No	ns	>0.9999			
    Group B vs. Group C	2.185	-1.928 to 6.298	No	ns	>0.9999			
								
  Q0K7F4								
    Group A vs. Group B	-0.1253	-3.484 to 3.233	No	ns	>0.9999			
    Group A vs. Group C	2.210	-1.903 to 6.323	No	ns	>0.9999			
    Group B vs. Group C	2.336	-1.778 to 6.449	No	ns	>0.9999			
								
  Q0K7I4								
    Group A vs. Group B	1.150	-2.208 to 4.509	No	ns	>0.9999			
    Group A vs. Group C	2.470	-1.643 to 6.583	No	ns	>0.9999			
    Group B vs. Group C	1.319	-2.794 to 5.432	No	ns	>0.9999			
								
  Q0K7I7								
    Group A vs. Group B	0.2098	-3.149 to 3.568	No	ns	>0.9999			
    Group A vs. Group C	3.718	-0.3957 to 7.831	No	ns	0.2057			
    Group B vs. Group C	3.508	-0.6054 to 7.621	No	ns	0.3837			
								
  Q0K7P7								
    Group A vs. Group B	-1.349	-4.708 to 2.009	No	ns	>0.9999			
    Group A vs. Group C	0.9559	-3.157 to 5.069	No	ns	>0.9999			
    Group B vs. Group C	2.305	-1.808 to 6.418	No	ns	>0.9999			
								
  Q0K7Q8								
    Group A vs. Group B	0.9113	-2.447 to 4.270	No	ns	>0.9999			
    Group A vs. Group C	2.241	-1.872 to 6.354	No	ns	>0.9999			
    Group B vs. Group C	1.330	-2.783 to 5.443	No	ns	>0.9999			
								
  Q0K7R6								
    Group A vs. Group B	1.162	-2.196 to 4.521	No	ns	>0.9999			
    Group A vs. Group C	1.823	-2.290 to 5.936	No	ns	>0.9999			
    Group B vs. Group C	0.6607	-3.452 to 4.774	No	ns	>0.9999			
								
  Q0K7R9								
    Group A vs. Group B	0.2811	-3.077 to 3.640	No	ns	>0.9999			
    Group A vs. Group C	1.062	-3.052 to 5.175	No	ns	>0.9999			
    Group B vs. Group C	0.7804	-3.333 to 4.894	No	ns	>0.9999			
								
  Q0K7S1								
    Group A vs. Group B	1.878	-1.480 to 5.237	No	ns	>0.9999			
    Group A vs. Group C	0.8768	-3.236 to 4.990	No	ns	>0.9999			
    Group B vs. Group C	-1.002	-5.115 to 3.111	No	ns	>0.9999			
								
  Q0K7S3								
    Group A vs. Group B	1.479	-1.879 to 4.838	No	ns	>0.9999			
    Group A vs. Group C	0.2244	-3.889 to 4.338	No	ns	>0.9999			
    Group B vs. Group C	-1.255	-5.368 to 2.858	No	ns	>0.9999			
								
  Q0K7X7								
    Group A vs. Group B	3.190	-0.1682 to 6.549	No	ns	0.1077			
    Group A vs. Group C	2.341	-1.772 to 6.454	No	ns	>0.9999			
    Group B vs. Group C	-0.8488	-4.962 to 3.264	No	ns	>0.9999			
								
  Q0K7Y6								
    Group A vs. Group B	2.202	-1.156 to 5.561	No	ns	0.9977			
    Group A vs. Group C	3.040	-1.073 to 7.154	No	ns	0.8912			
    Group B vs. Group C	0.8383	-3.275 to 4.951	No	ns	>0.9999			
								
  Q0K800								
    Group A vs. Group B	0.2642	-3.094 to 3.623	No	ns	>0.9999			
    Group A vs. Group C	1.921	-2.192 to 6.034	No	ns	>0.9999			
    Group B vs. Group C	1.657	-2.457 to 5.770	No	ns	>0.9999			
								
  Q0K8A0								
    Group A vs. Group B	0.05937	-3.299 to 3.418	No	ns	>0.9999			
    Group A vs. Group C	1.493	-2.620 to 5.606	No	ns	>0.9999			
    Group B vs. Group C	1.434	-2.679 to 5.547	No	ns	>0.9999			
								
  Q0K8A1								
    Group A vs. Group B	3.198	-0.1605 to 6.556	No	ns	0.1042			
    Group A vs. Group C	3.720	-0.3936 to 7.833	No	ns	0.2044			
    Group B vs. Group C	0.5217	-3.591 to 4.635	No	ns	>0.9999			
								
  Q0K8C6								
    Group A vs. Group B	0.9900	-2.368 to 4.348	No	ns	>0.9999			
    Group A vs. Group C	3.531	-0.5823 to 7.644	No	ns	0.3603			
    Group B vs. Group C	2.541	-1.572 to 6.654	No	ns	>0.9999			
								
  Q0K8N2								
    Group A vs. Group B	1.429	-1.930 to 4.787	No	ns	>0.9999			
    Group A vs. Group C	3.117	-0.9966 to 7.230	No	ns	0.8267			
    Group B vs. Group C	1.688	-2.425 to 5.801	No	ns	>0.9999			
								
  Q0K8S9								
    Group A vs. Group B	-0.5332	-3.892 to 2.825	No	ns	>0.9999			
    Group A vs. Group C	-0.2072	-4.320 to 3.906	No	ns	>0.9999			
    Group B vs. Group C	0.3260	-3.787 to 4.439	No	ns	>0.9999			
								
  Q0K8T0								
    Group A vs. Group B	3.759	0.4006 to 7.117	Yes	**	0.0066			
    Group A vs. Group C	4.508	0.3952 to 8.622	Yes	**	0.0100			
    Group B vs. Group C	0.7494	-3.364 to 4.863	No	ns	>0.9999			
								
  Q0K8X5								
    Group A vs. Group B	1.473	-1.885 to 4.832	No	ns	>0.9999			
    Group A vs. Group C	4.314	0.2011 to 8.427	Yes	*	0.0225			
    Group B vs. Group C	2.841	-1.272 to 6.954	No	ns	0.9821			
								
  Q0K907								
    Group A vs. Group B	1.845	-1.513 to 5.203	No	ns	>0.9999			
    Group A vs. Group C	4.559	0.4456 to 8.672	Yes	**	0.0080			
    Group B vs. Group C	2.714	-1.399 to 6.827	No	ns	0.9969			
								
  Q0K920								
    Group A vs. Group B	2.803	-0.5557 to 6.161	No	ns	0.4653			
    Group A vs. Group C	4.713	0.5997 to 8.826	Yes	**	0.0041			
    Group B vs. Group C	1.910	-2.203 to 6.023	No	ns	>0.9999			
								
  Q0K921								
    Group A vs. Group B	1.038	-2.320 to 4.396	No	ns	>0.9999			
    Group A vs. Group C	3.233	-0.8804 to 7.346	No	ns	0.7024			
    Group B vs. Group C	2.195	-1.918 to 6.308	No	ns	>0.9999			
								
  Q0K928								
    Group A vs. Group B	0.4944	-2.864 to 3.853	No	ns	>0.9999			
    Group A vs. Group C	0.4384	-3.675 to 4.552	No	ns	>0.9999			
    Group B vs. Group C	-0.05600	-4.169 to 4.057	No	ns	>0.9999			
								
  Q0K957								
    Group A vs. Group B	0.9845	-2.374 to 4.343	No	ns	>0.9999			
    Group A vs. Group C	0.6469	-3.466 to 4.760	No	ns	>0.9999			
    Group B vs. Group C	-0.3376	-4.451 to 3.776	No	ns	>0.9999			
								
  Q0K9G9								
    Group A vs. Group B	-1.174	-4.532 to 2.185	No	ns	>0.9999			
    Group A vs. Group C	-0.1371	-4.250 to 3.976	No	ns	>0.9999			
    Group B vs. Group C	1.037	-3.077 to 5.150	No	ns	>0.9999			
								
  Q0K9H4								
    Group A vs. Group B	-0.7167	-4.075 to 2.642	No	ns	>0.9999			
    Group A vs. Group C	-1.090	-5.204 to 3.023	No	ns	>0.9999			
    Group B vs. Group C	-0.3737	-4.487 to 3.739	No	ns	>0.9999			
								
  Q0K9J0								
    Group A vs. Group B	0.6581	-2.700 to 4.016	No	ns	>0.9999			
    Group A vs. Group C	2.085	-2.028 to 6.198	No	ns	>0.9999			
    Group B vs. Group C	1.427	-2.686 to 5.540	No	ns	>0.9999			
								
  Q0K9N3								
    Group A vs. Group B	0.5091	-2.849 to 3.868	No	ns	>0.9999			
    Group A vs. Group C	2.659	-1.455 to 6.772	No	ns	0.9988			
    Group B vs. Group C	2.149	-1.964 to 6.263	No	ns	>0.9999			
								
  Q0K9Q3								
    Group A vs. Group B	-1.008	-4.366 to 2.351	No	ns	>0.9999			
    Group A vs. Group C	1.274	-2.839 to 5.387	No	ns	>0.9999			
    Group B vs. Group C	2.282	-1.831 to 6.395	No	ns	>0.9999			
								
  Q0K9S7								
    Group A vs. Group B	0.7102	-2.648 to 4.069	No	ns	>0.9999			
    Group A vs. Group C	0.7318	-3.381 to 4.845	No	ns	>0.9999			
    Group B vs. Group C	0.02156	-4.092 to 4.135	No	ns	>0.9999			
								
  Q0K9T5								
    Group A vs. Group B	1.077	-2.282 to 4.435	No	ns	>0.9999			
    Group A vs. Group C	3.074	-1.039 to 7.187	No	ns	0.8646			
    Group B vs. Group C	1.997	-2.116 to 6.111	No	ns	>0.9999			
								
  Q0K9V5								
    Group A vs. Group B	0.9061	-2.452 to 4.264	No	ns	>0.9999			
    Group A vs. Group C	1.679	-2.434 to 5.792	No	ns	>0.9999			
    Group B vs. Group C	0.7728	-3.340 to 4.886	No	ns	>0.9999			
								
  Q0K9X0								
    Group A vs. Group B	-0.6387	-3.997 to 2.720	No	ns	>0.9999			
    Group A vs. Group C	0.5312	-3.582 to 4.644	No	ns	>0.9999			
    Group B vs. Group C	1.170	-2.943 to 5.283	No	ns	>0.9999			
								
  Q0K9Y6								
    Group A vs. Group B	1.429	-1.930 to 4.787	No	ns	>0.9999			
    Group A vs. Group C	2.738	-1.376 to 6.851	No	ns	0.9955			
    Group B vs. Group C	1.309	-2.804 to 5.422	No	ns	>0.9999			
								
  Q0K9Z0								
    Group A vs. Group B	0.3582	-3.000 to 3.717	No	ns	>0.9999			
    Group A vs. Group C	1.379	-2.734 to 5.492	No	ns	>0.9999			
    Group B vs. Group C	1.021	-3.093 to 5.134	No	ns	>0.9999			
								
  Q0KA90								
    Group A vs. Group B	0.1148	-3.244 to 3.473	No	ns	>0.9999			
    Group A vs. Group C	0.7632	-3.350 to 4.876	No	ns	>0.9999			
    Group B vs. Group C	0.6484	-3.465 to 4.762	No	ns	>0.9999			
								
  Q0KAA5								
    Group A vs. Group B	0.2251	-3.133 to 3.583	No	ns	>0.9999			
    Group A vs. Group C	2.115	-1.998 to 6.228	No	ns	>0.9999			
    Group B vs. Group C	1.890	-2.223 to 6.003	No	ns	>0.9999			
								
  Q0KAD4								
    Group A vs. Group B	-0.01823	-3.377 to 3.340	No	ns	>0.9999			
    Group A vs. Group C	-0.1538	-4.267 to 3.959	No	ns	>0.9999			
    Group B vs. Group C	-0.1356	-4.249 to 3.978	No	ns	>0.9999			
								
  Q0KAE0								
    Group A vs. Group B	1.825	-1.533 to 5.183	No	ns	>0.9999			
    Group A vs. Group C	1.295	-2.819 to 5.408	No	ns	>0.9999			
    Group B vs. Group C	-0.5305	-4.644 to 3.583	No	ns	>0.9999			
								
  Q0KAH0								
    Group A vs. Group B	1.088	-2.271 to 4.446	No	ns	>0.9999			
    Group A vs. Group C	4.319	0.2060 to 8.432	Yes	*	0.0220			
    Group B vs. Group C	3.232	-0.8817 to 7.345	No	ns	0.7038			
								
  Q0KAR7								
    Group A vs. Group B	1.072	-2.286 to 4.431	No	ns	>0.9999			
    Group A vs. Group C	2.449	-1.664 to 6.562	No	ns	>0.9999			
    Group B vs. Group C	1.377	-2.736 to 5.490	No	ns	>0.9999			
								
  Q0KAY1								
    Group A vs. Group B	2.642	-0.7168 to 6.000	No	ns	0.6995			
    Group A vs. Group C	1.792	-2.321 to 5.906	No	ns	>0.9999			
    Group B vs. Group C	-0.8492	-4.962 to 3.264	No	ns	>0.9999			
								
  Q0KB25								
    Group A vs. Group B	-0.1294	-3.488 to 3.229	No	ns	>0.9999			
    Group A vs. Group C	-0.4529	-4.566 to 3.660	No	ns	>0.9999			
    Group B vs. Group C	-0.3235	-4.437 to 3.790	No	ns	>0.9999			
								
  Q0KB27								
    Group A vs. Group B	0.3256	-3.033 to 3.684	No	ns	>0.9999			
    Group A vs. Group C	1.116	-2.997 to 5.229	No	ns	>0.9999			
    Group B vs. Group C	0.7903	-3.323 to 4.903	No	ns	>0.9999			
								
  Q0KB42								
    Group A vs. Group B	-0.2860	-3.644 to 3.072	No	ns	>0.9999			
    Group A vs. Group C	0.6542	-3.459 to 4.767	No	ns	>0.9999			
    Group B vs. Group C	0.9402	-3.173 to 5.053	No	ns	>0.9999			
								
  Q0KB66								
    Group A vs. Group B	1.439	-1.919 to 4.797	No	ns	>0.9999			
    Group A vs. Group C	1.430	-2.683 to 5.544	No	ns	>0.9999			
    Group B vs. Group C	-0.008671	-4.122 to 4.104	No	ns	>0.9999			
								
  Q0KBB1								
    Group A vs. Group B	-0.8151	-4.173 to 2.543	No	ns	>0.9999			
    Group A vs. Group C	1.612	-2.502 to 5.725	No	ns	>0.9999			
    Group B vs. Group C	2.427	-1.687 to 6.540	No	ns	>0.9999			
								
  Q0KBG5								
    Group A vs. Group B	3.674	0.3154 to 7.032	Yes	*	0.0104			
    Group A vs. Group C	3.127	-0.9859 to 7.240	No	ns	0.8163			
    Group B vs. Group C	-0.5465	-4.660 to 3.567	No	ns	>0.9999			
								
  Q0KBG6								
    Group A vs. Group B	1.898	-1.460 to 5.257	No	ns	>0.9999			
    Group A vs. Group C	3.471	-0.6422 to 7.584	No	ns	0.4226			
    Group B vs. Group C	1.573	-2.541 to 5.686	No	ns	>0.9999			
								
  Q0KBR8								
    Group A vs. Group B	2.373	-0.9853 to 5.731	No	ns	0.9639			
    Group A vs. Group C	1.822	-2.291 to 5.935	No	ns	>0.9999			
    Group B vs. Group C	-0.5508	-4.664 to 3.562	No	ns	>0.9999			
								
  Q0KBR9								
    Group A vs. Group B	1.424	-1.934 to 4.783	No	ns	>0.9999			
    Group A vs. Group C	0.5361	-3.577 to 4.649	No	ns	>0.9999			
    Group B vs. Group C	-0.8882	-5.001 to 3.225	No	ns	>0.9999			
								
  Q0KBU2								
    Group A vs. Group B	0.9206	-2.438 to 4.279	No	ns	>0.9999			
    Group A vs. Group C	1.170	-2.943 to 5.283	No	ns	>0.9999			
    Group B vs. Group C	0.2494	-3.864 to 4.363	No	ns	>0.9999			
								
  Q0KBU9								
    Group A vs. Group B	0.2664	-3.092 to 3.625	No	ns	>0.9999			
    Group A vs. Group C	1.632	-2.481 to 5.745	No	ns	>0.9999			
    Group B vs. Group C	1.365	-2.748 to 5.479	No	ns	>0.9999			
								
  Q0KBW2								
    Group A vs. Group B	0.4762	-2.882 to 3.835	No	ns	>0.9999			
    Group A vs. Group C	0.6719	-3.441 to 4.785	No	ns	>0.9999			
    Group B vs. Group C	0.1956	-3.918 to 4.309	No	ns	>0.9999			
								
  Q0KBX1								
    Group A vs. Group B	-0.6070	-3.965 to 2.751	No	ns	>0.9999			
    Group A vs. Group C	-1.423	-5.536 to 2.690	No	ns	>0.9999			
    Group B vs. Group C	-0.8164	-4.930 to 3.297	No	ns	>0.9999			
								
  Q0KBY4								
    Group A vs. Group B	0.9265	-2.432 to 4.285	No	ns	>0.9999			
    Group A vs. Group C	1.898	-2.215 to 6.011	No	ns	>0.9999			
    Group B vs. Group C	0.9717	-3.142 to 5.085	No	ns	>0.9999			
								
  Q0KC68								
    Group A vs. Group B	1.538	-1.821 to 4.896	No	ns	>0.9999			
    Group A vs. Group C	0.7374	-3.376 to 4.851	No	ns	>0.9999			
    Group B vs. Group C	-0.8003	-4.913 to 3.313	No	ns	>0.9999			
								
  Q0KC91								
    Group A vs. Group B	0.9290	-2.429 to 4.287	No	ns	>0.9999			
    Group A vs. Group C	0.2882	-3.825 to 4.401	No	ns	>0.9999			
    Group B vs. Group C	-0.6408	-4.754 to 3.472	No	ns	>0.9999			
								
  Q0KCB3								
    Group A vs. Group B	-0.7195	-4.078 to 2.639	No	ns	>0.9999			
    Group A vs. Group C	1.982	-2.131 to 6.095	No	ns	>0.9999			
    Group B vs. Group C	2.701	-1.412 to 6.814	No	ns	0.9975			
								
  Q0KCF3								
    Group A vs. Group B	2.301	-1.057 to 5.660	No	ns	0.9863			
    Group A vs. Group C	2.705	-1.408 to 6.818	No	ns	0.9973			
    Group B vs. Group C	0.4036	-3.710 to 4.517	No	ns	>0.9999			
								
  Q0KCF5								
    Group A vs. Group B	1.678	-1.680 to 5.037	No	ns	>0.9999			
    Group A vs. Group C	0.4272	-3.686 to 4.540	No	ns	>0.9999			
    Group B vs. Group C	-1.251	-5.364 to 2.862	No	ns	>0.9999			
								
  Q0KCF8								
    Group A vs. Group B	0.9347	-2.424 to 4.293	No	ns	>0.9999			
    Group A vs. Group C	1.136	-2.977 to 5.249	No	ns	>0.9999			
    Group B vs. Group C	0.2010	-3.912 to 4.314	No	ns	>0.9999			
								
  Q0KCI6								
    Group A vs. Group B	1.779	-1.580 to 5.137	No	ns	>0.9999			
    Group A vs. Group C	3.167	-0.9459 to 7.280	No	ns	0.7755			
    Group B vs. Group C	1.388	-2.725 to 5.502	No	ns	>0.9999			
								
  Q0KD21								
    Group A vs. Group B	-0.2721	-3.630 to 3.086	No	ns	>0.9999			
    Group A vs. Group C	2.938	-1.175 to 7.051	No	ns	0.9513			
    Group B vs. Group C	3.210	-0.9028 to 7.324	No	ns	0.7281			
								
  Q0KD34								
    Group A vs. Group B	-0.1489	-3.507 to 3.209	No	ns	>0.9999			
    Group A vs. Group C	1.895	-2.218 to 6.008	No	ns	>0.9999			
    Group B vs. Group C	2.044	-2.069 to 6.157	No	ns	>0.9999			
								
  Q0KD77								
    Group A vs. Group B	0.8176	-2.541 to 4.176	No	ns	>0.9999			
    Group A vs. Group C	1.752	-2.361 to 5.865	No	ns	>0.9999			
    Group B vs. Group C	0.9347	-3.178 to 5.048	No	ns	>0.9999			
								
  Q0KDF6								
    Group A vs. Group B	1.221	-2.137 to 4.580	No	ns	>0.9999			
    Group A vs. Group C	1.058	-3.055 to 5.172	No	ns	>0.9999			
    Group B vs. Group C	-0.1629	-4.276 to 3.950	No	ns	>0.9999			
								
  Q0KDG1								
    Group A vs. Group B	-1.859	-5.217 to 1.500	No	ns	>0.9999			
    Group A vs. Group C	0.5619	-3.551 to 4.675	No	ns	>0.9999			
    Group B vs. Group C	2.421	-1.693 to 6.534	No	ns	>0.9999			
								
  Q0KDN5								
    Group A vs. Group B	1.806	-1.552 to 5.164	No	ns	>0.9999			
    Group A vs. Group C	3.150	-0.9630 to 7.263	No	ns	0.7934			
    Group B vs. Group C	1.344	-2.769 to 5.457	No	ns	>0.9999			
								
  Q0KDP4								
    Group A vs. Group B	2.206	-1.153 to 5.564	No	ns	0.9975			
    Group A vs. Group C	1.980	-2.134 to 6.093	No	ns	>0.9999			
    Group B vs. Group C	-0.2263	-4.339 to 3.887	No	ns	>0.9999			
								
  Q0KDR9								
    Group A vs. Group B	2.156	-1.202 to 5.515	No	ns	0.9992			
    Group A vs. Group C	0.9313	-3.182 to 5.044	No	ns	>0.9999			
    Group B vs. Group C	-1.225	-5.338 to 2.888	No	ns	>0.9999			
								
  Q0KDS8								
    Group A vs. Group B	1.136	-2.222 to 4.495	No	ns	>0.9999			
    Group A vs. Group C	-0.8724	-4.986 to 3.241	No	ns	>0.9999			
    Group B vs. Group C	-2.009	-6.122 to 2.104	No	ns	>0.9999			
								
  Q0KE17								
    Group A vs. Group B	0.1817	-3.177 to 3.540	No	ns	>0.9999			
    Group A vs. Group C	1.702	-2.411 to 5.815	No	ns	>0.9999			
    Group B vs. Group C	1.521	-2.593 to 5.634	No	ns	>0.9999			
								
  Q0KE46								
    Group A vs. Group B	0.4173	-2.941 to 3.776	No	ns	>0.9999			
    Group A vs. Group C	3.430	-0.6833 to 7.543	No	ns	0.4683			
    Group B vs. Group C	3.013	-1.101 to 7.126	No	ns	0.9107			
								
  Q0KE73								
    Group A vs. Group B	-0.7231	-4.081 to 2.635	No	ns	>0.9999			
    Group A vs. Group C	0.4016	-3.712 to 4.515	No	ns	>0.9999			
    Group B vs. Group C	1.125	-2.988 to 5.238	No	ns	>0.9999			
								
  Q0KE97								
    Group A vs. Group B	0.7391	-2.619 to 4.097	No	ns	>0.9999			
    Group A vs. Group C	0.2496	-3.864 to 4.363	No	ns	>0.9999			
    Group B vs. Group C	-0.4895	-4.603 to 3.624	No	ns	>0.9999			
								
  Q0KEB7								
    Group A vs. Group B	0.3421	-3.016 to 3.700	No	ns	>0.9999			
    Group A vs. Group C	2.812	-1.301 to 6.925	No	ns	0.9873			
    Group B vs. Group C	2.470	-1.643 to 6.583	No	ns	>0.9999			
								
  Q0KEB9								
    Group A vs. Group B	0.5408	-2.818 to 3.899	No	ns	>0.9999			
    Group A vs. Group C	-0.3331	-4.446 to 3.780	No	ns	>0.9999			
    Group B vs. Group C	-0.8739	-4.987 to 3.239	No	ns	>0.9999			
								
  Q0KEF1								
    Group A vs. Group B	1.219	-2.140 to 4.577	No	ns	>0.9999			
    Group A vs. Group C	4.323	0.2094 to 8.436	Yes	*	0.0217			
    Group B vs. Group C	3.104	-1.009 to 7.217	No	ns	0.8386			
								
  Q0KEM5								
    Group A vs. Group B	0.1279	-3.230 to 3.486	No	ns	>0.9999			
    Group A vs. Group C	-0.4479	-4.561 to 3.665	No	ns	>0.9999			
    Group B vs. Group C	-0.5758	-4.689 to 3.537	No	ns	>0.9999			
								
  Q0KES1								
    Group A vs. Group B	-1.213	-4.572 to 2.145	No	ns	>0.9999			
    Group A vs. Group C	-1.418	-5.531 to 2.695	No	ns	>0.9999			
    Group B vs. Group C	-0.2051	-4.318 to 3.908	No	ns	>0.9999			
								
  Q0KEX9								
    Group A vs. Group B	3.371	0.01228 to 6.729	Yes	*	0.0472			
    Group A vs. Group C	2.682	-1.431 to 6.796	No	ns	0.9982			
    Group B vs. Group C	-0.6883	-4.801 to 3.425	No	ns	>0.9999			
								
  Q0KEY0								
    Group A vs. Group B	3.919	0.5608 to 7.278	Yes	**	0.0028			
    Group A vs. Group C	5.381	1.268 to 9.494	Yes	***	0.0002			
    Group B vs. Group C	1.462	-2.651 to 5.575	No	ns	>0.9999			
								
  Q0KEY4								
    Group A vs. Group B	3.390	0.03132 to 6.748	Yes	*	0.0431			
    Group A vs. Group C	3.514	-0.5989 to 7.627	No	ns	0.3770			
    Group B vs. Group C	0.1246	-3.989 to 4.238	No	ns	>0.9999			
								
  Q0KEZ0								
    Group A vs. Group B	0.1830	-3.175 to 3.541	No	ns	>0.9999			
    Group A vs. Group C	3.019	-1.094 to 7.132	No	ns	0.9063			
    Group B vs. Group C	2.836	-1.277 to 6.949	No	ns	0.9831			
								
  Q0KEZ2								
    Group A vs. Group B	0.9808	-2.378 to 4.339	No	ns	>0.9999			
    Group A vs. Group C	0.4338	-3.679 to 4.547	No	ns	>0.9999			
    Group B vs. Group C	-0.5470	-4.660 to 3.566	No	ns	>0.9999			
								
  Q0KF01								
    Group A vs. Group B	2.140	-1.219 to 5.498	No	ns	0.9994			
    Group A vs. Group C	4.628	0.5147 to 8.741	Yes	**	0.0059			
    Group B vs. Group C	2.488	-1.625 to 6.601	No	ns	>0.9999			
								
  Q0KF27								
    Group A vs. Group B	1.687	-1.672 to 5.045	No	ns	>0.9999			
    Group A vs. Group C	0.9453	-3.168 to 5.059	No	ns	>0.9999			
    Group B vs. Group C	-0.7414	-4.855 to 3.372	No	ns	>0.9999			
								
  Q0KFE5								
    Group A vs. Group B	0.4185	-2.940 to 3.777	No	ns	>0.9999			
    Group A vs. Group C	1.284	-2.829 to 5.398	No	ns	>0.9999			
    Group B vs. Group C	0.8659	-3.247 to 4.979	No	ns	>0.9999			
								
  Q0KFE7								
    Group A vs. Group B	0.7031	-2.655 to 4.061	No	ns	>0.9999			
    Group A vs. Group C	0.9856	-3.128 to 5.099	No	ns	>0.9999			
    Group B vs. Group C	0.2825	-3.831 to 4.396	No	ns	>0.9999			
								
  Q0KFG0								
    Group A vs. Group B	-2.134	-5.492 to 1.225	No	ns	0.9995			
    Group A vs. Group C	-0.2947	-4.408 to 3.819	No	ns	>0.9999			
    Group B vs. Group C	1.839	-2.274 to 5.952	No	ns	>0.9999			
								
  Q0KFH7								
    Group A vs. Group B	-0.3237	-3.682 to 3.035	No	ns	>0.9999			
    Group A vs. Group C	0.7132	-3.400 to 4.826	No	ns	>0.9999			
    Group B vs. Group C	1.037	-3.076 to 5.150	No	ns	>0.9999			
								
  Q0KFN0								
    Group A vs. Group B	0.7674	-2.591 to 4.126	No	ns	>0.9999			
    Group A vs. Group C	1.404	-2.709 to 5.518	No	ns	>0.9999			
    Group B vs. Group C	0.6370	-3.476 to 4.750	No	ns	>0.9999			
								
  Q0KFN7								
    Group A vs. Group B	3.245	-0.1137 to 6.603	No	ns	0.0846			
    Group A vs. Group C	5.222	1.108 to 9.335	Yes	***	0.0004			
    Group B vs. Group C	1.977	-2.136 to 6.090	No	ns	>0.9999			
								
  Q0KFP4;Q0KFQ3								
    Group A vs. Group B	0.3895	-2.969 to 3.748	No	ns	>0.9999			
    Group A vs. Group C	4.217	0.1034 to 8.330	Yes	*	0.0333			
    Group B vs. Group C	3.827	-0.2861 to 7.940	No	ns	0.1427			
								
  Q0KFQ1								
    Group A vs. Group B	0.5815	-2.777 to 3.940	No	ns	>0.9999			
    Group A vs. Group C	0.9337	-3.179 to 5.047	No	ns	>0.9999			
    Group B vs. Group C	0.3522	-3.761 to 4.465	No	ns	>0.9999			
								
  Q7WXK3								
    Group A vs. Group B	-6.060	-9.418 to -2.701	Yes	****	<0.0001			
    Group A vs. Group C	-5.981	-10.09 to -1.868	Yes	****	<0.0001			
    Group B vs. Group C	0.07850	-4.035 to 4.192	No	ns	>0.9999			
								
  Q8KLU8								
    Group A vs. Group B	1.717	-1.642 to 5.075	No	ns	>0.9999			
    Group A vs. Group C	1.892	-2.221 to 6.005	No	ns	>0.9999			
    Group B vs. Group C	0.1750	-3.938 to 4.288	No	ns	>0.9999			
								
								
Test details	Predicted (LS) mean 1	Predicted (LS) mean 2	Predicted (LS) mean diff.	SE of diff.	N1	N2	t	DF
								
  P27747								
    Group A vs. Group B	15.41	15.26	0.1451	0.8509	4	4	0.1705	1442
    Group A vs. Group C	15.41	13.27	2.136	1.042	4	2	2.049	1442
    Group B vs. Group C	15.26	13.27	1.991	1.042	4	2	1.910	1442
								
  P28614								
    Group A vs. Group B	15.30	12.94	2.358	0.8509	4	4	2.771	1442
    Group A vs. Group C	15.30	11.94	3.362	1.042	4	2	3.226	1442
    Group B vs. Group C	12.94	11.94	1.004	1.042	4	2	0.9633	1442
								
  P59927								
    Group A vs. Group B	13.62	14.36	-0.7354	0.8509	4	4	0.8642	1442
    Group A vs. Group C	13.62	14.97	-1.351	1.042	4	2	1.296	1442
    Group B vs. Group C	14.36	14.97	-0.6156	1.042	4	2	0.5907	1442
								
  Q0JY17								
    Group A vs. Group B	17.02	16.35	0.6735	0.8509	4	4	0.7915	1442
    Group A vs. Group C	17.02	14.57	2.448	1.042	4	2	2.349	1442
    Group B vs. Group C	16.35	14.57	1.774	1.042	4	2	1.703	1442
								
  Q0JY52								
    Group A vs. Group B	14.25	13.48	0.7688	0.8509	4	4	0.9035	1442
    Group A vs. Group C	14.25	12.80	1.449	1.042	4	2	1.390	1442
    Group B vs. Group C	13.48	12.80	0.6798	1.042	4	2	0.6523	1442
								
  Q0JY56								
    Group A vs. Group B	14.79	15.41	-0.6171	0.8509	4	4	0.7252	1442
    Group A vs. Group C	14.79	12.04	2.754	1.042	4	2	2.643	1442
    Group B vs. Group C	15.41	12.04	3.371	1.042	4	2	3.235	1442
								
  Q0JYC5								
